Index,Account #     , Meter #       , Usage Date   ,Month,Day, Usage (kWh)         , End Meter Read   , Daily Energy Cost Approx   , High Temperature      , Avg Temperature      ,Low Temperature   
1,184510001,137389, 09/01/2018   ,9,1,16,28315,1.49,86,77,70
2,184510001,137389, 09/02/2018   ,9,2,15,28330,1.4,76,73,70
3,184510001,137389, 09/03/2018   ,9,3,74,28404,6.88,81,73,67
4,184510001,137389, 09/04/2018   ,9,4,21,28425,1.95,76,70,65
5,184510001,137389, 09/05/2018   ,9,5,28,28453,2.6,77,72,72
6,184510001,137389, 09/06/2018   ,9,6,30,28483,2.79,70,63,52
7,184510001,137389, 09/07/2018   ,9,7,34,28517,3.16,76,67,61
8,184510001,137389, 09/08/2018   ,9,8,20,28537,1.86,61,52,43
9,184510001,137389, 09/09/2018   ,9,9,20,28557,1.86,65,58,54
10,184510001,137389, 09/10/2018   ,9,10,48,28605,4.46,54,47,41
11,184510001,137389, 09/11/2018   ,9,11,30,28635,2.79,36,34,32
12,184510001,137389, 09/12/2018   ,9,12,23,28658,2.14,50,42,34
13,184510001,137389, 09/13/2018   ,9,13,14,28672,1.3,49,37,27
14,184510001,137389, 09/14/2018   ,9,14,14,28686,1.3,49,36,27
15,184510001,137389, 09/15/2018   ,9,15,16,28702,1.49,65,55,45
16,184510001,137389, 09/16/2018   ,9,16,16,28718,1.49,65,53,49
17,184510001,137389, 09/17/2018   ,9,17,39,28757,3.63,83,76,72
18,184510001,137389, 09/18/2018   ,9,18,19,28776,1.77,83,74,68
19,184510001,137389, 09/19/2018   ,9,19,25,28801,2.33,85,73,65
20,184510001,137389, 09/20/2018   ,9,20,25,28826,2.33,63,57,49
21,184510001,137389, 09/21/2018   ,9,21,33,28859,3.07,64,53,43
22,184510001,137389, 09/22/2018   ,9,22,13,28872,1.21,52,40,36
23,184510001,137389, 09/23/2018   ,9,23,12,28884,1.12,43,37,36
24,184510001,137389, 09/24/2018   ,9,24,22,28906,2.05,56,44,34
25,184510001,137389, 09/25/2018   ,9,25,5,28911,0.47,52,43,32
26,184510001,137389, 09/26/2018   ,9,26,5,28916,0.47,47,38,34
27,184510001,137389, 09/27/2018   ,9,27,24,28940,2.23,50,42,41
28,184510001,137389, 09/28/2018   ,9,28,6,28946,0.56,54,48,50
29,184510001,137389, 09/29/2018   ,9,29,18,28964,1.67,59,49,43
30,184510001,137389, 09/30/2018   ,9,30,17,28981,1.58,41,34,27
31,184510001,137389, 10/01/2018   ,10,1,26,29007,2.42,40,34,34
32,184510001,137389, 10/02/2018   ,10,2,29,29036,2.7,54,47,47
33,184510001,137389, 10/03/2018   ,10,3,6,29042,0.56,54,47,43
34,184510001,137389, 10/04/2018   ,10,4,5,29047,0.47,54,40,29
35,184510001,137389, 10/05/2018   ,10,5,5,29052,0.47,50,37,27
36,184510001,137389, 10/06/2018   ,10,6,4,29056,0.37,50,46,40
37,184510001,137389, 10/07/2018   ,10,7,5,29061,0.47,40,36,34
38,184510001,137389, 10/08/2018   ,10,8,10,29071,0.93,50,39,31
39,184510001,137389, 10/09/2018   ,10,9,34,29105,3.16,41,30,22
40,184510001,137389, 10/10/2018   ,10,10,4,29109,0.37,70,56,61
41,184510001,137389, 10/11/2018   ,10,11,6,29115,0.56,56,48,41
42,184510001,137389, 10/12/2018   ,10,12,6,29121,0.56,88,78,70
43,184510001,137389, 10/13/2018   ,10,13,11,29132,1.02,86,78,70
44,184510001,137389, 10/14/2018   ,10,14,10,29142,0.93,83,75,68
45,184510001,137389, 10/15/2018   ,10,15,36,29178,3.35,83,76,70
46,184510001,137389, 10/16/2018   ,10,16,20,29198,1.86,86,75,67
47,184510001,137389, 10/17/2018   ,10,17,6,29204,0.56,81,72,67
48,184510001,137389, 10/18/2018   ,10,18,17,29221,1.58,79,71,65
49,184510001,137389, 10/19/2018   ,10,19,12,29233,1.12,81,74,67
50,184510001,137389, 10/20/2018   ,10,20,6,29239,0.56,79,72,69
51,184510001,137389, 10/21/2018   ,10,21,6,29245,0.56,65,53,41
52,184510001,137389, 10/22/2018   ,10,22,22,29267,2.05,56,48,40
53,184510001,137389, 10/23/2018   ,10,23,13,29280,1.21,63,54,49
54,184510001,137389, 10/24/2018   ,10,24,6,29286,0.56,63,51,47
55,184510001,137389, 10/25/2018   ,10,25,14,29300,1.3,68,58,50
56,184510001,137389, 10/26/2018   ,10,26,4,29304,0.37,54,52,52
57,184510001,137389, 10/27/2018   ,10,27,9,29313,0.84,56,44,34
58,184510001,137389, 10/28/2018   ,10,28,8,29321,0.74,49,44,38
59,184510001,137389, 10/29/2018   ,10,29,8,29329,0.74,50,38,32
60,184510001,137389, 10/30/2018   ,10,30,3,29332,0.28,40,37,36
61,184510001,137389, 10/31/2018   ,10,31,3,29335,0.28,56,45,36
62,184510001,137389, 11/01/2018   ,11,1,18,29353,1.67,45,34,23
63,184510001,137389, 11/02/2018   ,11,2,7,29360,0.65,52,41,32
64,184510001,137389, 11/03/2018   ,11,3,18,29378,1.67,56,46,40
65,184510001,137389, 11/04/2018   ,11,4,12,29390,1.12,34,28,20
66,184510001,137389, 11/05/2018   ,11,5,12,29402,1.12,75,62,60
67,184510001,137389, 11/06/2018   ,11,6,22,29424,2.05,61,51,40
68,184510001,137389, 11/07/2018   ,11,7,8,29432,0.74,86,77,70
69,184510001,137389, 11/08/2018   ,11,8,6,29438,0.56,83,75,68
70,184510001,137389, 11/09/2018   ,11,9,12,29450,1.12,85,76,67
71,184510001,137389, 11/10/2018   ,11,10,18,29468,1.67,79,72,67
72,184510001,137389, 11/11/2018   ,11,11,18,29486,1.67,74,65,58
73,184510001,137389, 11/12/2018   ,11,12,33,29519,3.07,72,66,61
74,184510001,137389, 11/13/2018   ,11,13,18,29537,1.67,61,50,43
75,184510001,137389, 11/14/2018   ,11,14,11,29548,1.02,59,53,45
76,184510001,137389, 11/15/2018   ,11,15,4,29552,0.37,45,41,40
77,184510001,137389, 11/16/2018   ,11,16,4,29556,0.37,56,44,36
78,184510001,137389, 11/17/2018   ,11,17,4,29560,0.37,49,33,25
79,184510001,137389, 11/18/2018   ,11,18,3,29563,0.28,50,44,41
80,184510001,137389, 11/19/2018   ,11,19,4,29567,0.37,57,42,43
81,184510001,137389, 11/20/2018   ,11,20,4,29571,0.37,56,41,29
82,184510001,137389, 11/21/2018   ,11,21,7,29578,0.65,49,41,36
83,184510001,137389, 11/22/2018   ,11,22,5,29583,0.47,59,52,41
84,184510001,137389, 11/23/2018   ,11,23,4,29587,0.37,56,51,49
85,184510001,137389, 11/24/2018   ,11,24,3,29590,0.28,59,51,43
86,184510001,137389, 11/25/2018   ,11,25,3,29593,0.28,43,36,31
